created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,favourite_count,language,sentiment_polarity
(['Fri Jun 24 11:31:23 +0000 2022'," ""b'RT @Al_ameen_Yabo: Dan Allah Help RT\\n\\nI sell Clone iWatch 7 Full screen \\nCompatible wit both iOS &amp;android \\nwater resistant\\n\\nPrices:20k'""", 'eminitife'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'parody', '6188', '2954', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:26 +0000 2022'," ""b'RT @Al_ameen_Yabo: Dan Allah Help RT\\n\\nI sell Clone iWatch 7 Full screen \\nCompatible wit both iOS &amp;android \\nwater resistant\\n\\nPrices:20k'""", 'Arewa_Business_'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Nigeria', '1942', '204', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:26 +0000 2022'," '""b""""RT @ChaaliiyKay:  974 Games\\n 769 Goals\\n 331 Assists\\n 7 Ballon d\'Ors\\n 40 Trophies\\n1 Lionel Messi.\\n\\nHappy Birthday GOAT!!! https://t.c""""""'", 'SOMEDIA203'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '17', '443', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:26 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'findgodpleaz'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Your moms', '1054', '86', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:26 +0000 2022'," ""b'Vida longa ao Gnio! '""", 'lcmtb_10'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '2112', '661', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:27 +0000 2022'," ""b'RT @AlbicelesteTalk: You would think the team scored a goal. Greatness of Lionel Andres Messi \\n\\n https://t.co/bivngz7V2u'""", 'Mts19067205'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '6', '90', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:27 +0000 2022'," ""b'Pff al 35 mijn goat'""", 'MDLRR_'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '689', '561', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:28 +0000 2022'," ""b'Este Tweet le recuerda a @IbaiLlanos y @Martinpdisalvo que han conocido a Lionel Andres Messi.  https://t.co/IJyob6oAen'""", 'IbaiYCoscu'," '""<a href=""""https://ifttt.com"""" rel=""""nofollow"""">IFTTT</a>""'", '', '58', '277', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:29 +0000 2022'," '""b""""RT @wizznaldo: Lionel Messi getting owned by Cristiano Ronaldo even on his birthday is the best thing you\'ll see on Internet today  https:""""""'", 'wizznaldo'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '805', '716', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:30 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'Lau_rober'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '581', '500', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:31 +0000 2022'," ""b'RT @TNTSportsBR: 35 ANOS DE UM DOS MAIORES DA HISTRIA!  Hoje deveria ser feriado MUNDIAL.  aniversrio de Lionel Messi! Deixa a seu'""", 'augustoppm'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '13', '152', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:31 +0000 2022'," ""b'RT @DoentesPFutebol: 35 anos do maior gnio da atual gerao do futebol: Lionel Messi. https://t.co/RpDsAw7xb9'""", 'teus333f'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '148', '1271', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:33 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", '_Ay33_Late'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '3137', '2621', '', '', ''], 'Negative')
(['Fri Jun 24 11:31:34 +0000 2022'," ""b'RT @Al_ameen_Yabo: Dan Allah Help RT\\n\\nI sell Clone iWatch 7 Full screen \\nCompatible wit both iOS &amp;android \\nwater resistant\\n\\nPrices:20k'""", '_kingjonah'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '8155', '1460', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:34 +0000 2022'," ""b'RT @DoentesPFutebol: 35 anos do maior gnio da atual gerao do futebol: Lionel Messi. https://t.co/RpDsAw7xb9'""", 'RCancelinha'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '428', '413', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:35 +0000 2022'," ""b'RT @Lm10Messista: Lionel Andrs Messi Cuccittini. [hilo]\\nMi carta de cumpleaos. https://t.co/flXFKJYFF9'""", 'awd_mersal'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'عند البربئ اللي هناك ده🚬', '716', '364', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:36 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'daprinze10'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '1457', '1164', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:36 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'nunopena80'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Guimarães', '177', '226', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:36 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'TorqueRedline'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Radiador Springs', '146', '227', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:36 +0000 2022'," ""b'Respect'""", 'pakpiongbai'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", 'Indonesia', '3', '253', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:37 +0000 2022'," ""b'RT @Al_ameen_Yabo: Dan Allah Help RT\\n\\nI sell Clone iWatch 7 Full screen \\nCompatible wit both iOS &amp;android \\nwater resistant\\n\\nPrices:20k'""", 'AkaniAbiola'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '1012', '290', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:37 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'johnpeter_7'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '201', '121', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:38 +0000 2022'," ""b'RT @Vallalnvicta: Tiene mas ttulos(40) que aos(35). Solo Lionel Andrs Messi. Feliz cumple  https://t.co/pVIQaerC6f'""", 'Bettyvt'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'WorldWideWeb ', '2918', '3340', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:39 +0000 2022'," '""b""""RT @sportbible:  974 Games\\n 769 Goals\\n 331 Assists\\n 7 Ballon d\'Ors\\n 40 Trophies\\n\\nHappy Birthday to Lionel Messi who turns 35 today """"""'", 'TheInfinityGod'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", 'India', '97', '109', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:41 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'BoykaMeer'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Lembah keramat', '116', '217', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:42 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'SBeshooni'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Heaven', '35', '67', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:43 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'Actually_Soccer'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", 'Worldwide', '2617', '2752', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:44 +0000 2022'," ""b'RT @thenameiskabi10: Happy Birthday To The Greatest of All Time \\n\\nLionel Messi x NF - The Search\\nhttps://t.co/UpbxiZgask'""", 'matuka_s'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'unimportant', '311', '521', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:44 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'RonyAlexisR'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Bogota D.C.', '366', '543', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:45 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'taremwa_samuel9'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Earth', '404', '478', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:45 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'darynalejo'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'United States', '248', '4535', '', '', ''], 'Neutral')
